source_system,alert_name,severity,status,customer_name,device_name,host,host_country,host_state,alert_category,is_duplicate,is_resolution,duplicate_count
meraki,Windows Event Log,4,Triggered,Wyffels,JB-SEATTLE-FW,10.0.4.6,Ireland,Nuevo León,network,True,True,1
meraki,Synthetic CTGAN Alert,1,Triggered,Ambient Enterprises DMG San Luis Obispo,DMG-SLO-AP02,MH-BoiseOffice-MX,Japan,Haifa,synthetic,True,True,1
auvik,Interface Status Mismatch,4,Triggered,Hanover Company Azure,asa5515x-01.kslinc.net,JB-CLACKAMAS-FW,United Kingdom,Cork,device,True,True,1
ncentral,Synthetic CTGAN Alert,1,Triggered,Hanover Company Azure,DMG-SLO-AP02,192.168.1.85,Australia,British Columbia,device,True,True,1
ncentral,Disk,3,Failed,Ambient Enterprises > Ambient Enterprises HCN (HAR),JB-SEATTLE-FW,192.168.1.85,France,Wallonia,synthetic,True,True,1
ncentral,Synthetic CTGAN Alert,3,Triggered,HVP SLHV Data Center,JB-CLACKAMAS-FW,dyo-sch-fw01a,France,Western Cape,device,True,True,1
ctgan,Network Element Offline,1,Triggered,Ambient Enterprises - Johnson Barrow,DMG-SLO-AP01,dpOBTlabsw01,Ireland,Lazio,service,True,True,1
meraki,Windows Event Log,3,Triggered,Synthetic Corp,DMG-SLO-AP02,asa5515x-01.kslinc.net,Singapore,Jerusalem,server,True,True,1
ctgan,VPN remote gateway is Lost,2,Normal,Ambient Enterprises DMG San Luis Obispo,LBTAMAG01,DMG-SLO-AP01,Switzerland,Hokkaido,interface,True,True,1
ncentral,Network Element Offline,3,Warning,Ambient Enterprises > Ambient Enterprises HCN (HAR),SyntheticDevice,JB-CLACKAMAS-FW,Switzerland,New York,service,True,True,1
ctgan,Rogue AP detected,3,Triggered,Hanover Company Azure,GlacierVmProd2,JB-CLACKAMAS-FW,South Africa,Oslo,server,True,True,1
auvik,Access Point Offline,1,Failed,Ocean Point Terminals (LTB),AmesUtility,DMG-SLO-AP02,United States,England,server,True,True,1
ncentral,Rogue AP detected,3,Failed,Wedgewood Pharmacy,asa5515x-01.kslinc.net,asa5515x-01.kslinc.net,Switzerland,Seoul,server,True,True,1
auvik,Network Element Offline,4,Triggered,Wedgewood Pharmacy,JB-CLACKAMAS-FW,dpOBTlabsw01,Mexico,Hesse,service,True,True,1
auvik,Disk,3,Triggered,Wyffels,JB-CLACKAMAS-FW,192.168.1.85,France,Rio de Janeiro,service,True,True,1
auvik,Interface Status Mismatch,3,Triggered,DYOPATH Oakbrook Terrace,JB-CLACKAMAS-FW,JB-CLACKAMAS-FW,Germany,Madrid,network,True,True,1
meraki,Memory,3,Warning,HVP SLHV Data Center,dyo-sch-fw01a,192.168.1.85,Canada,Central Region,server,True,True,1
meraki,Interface Status Mismatch,4,Triggered,Ambient Enterprises - Johnson Barrow,MH-BoiseOffice-MX,JB-SEATTLE-FW,Switzerland,Nouvelle-Aquitaine,interface,True,True,1
auvik,Network Element Offline,4,Triggered,Synthetic Corp,JB-CLACKAMAS-FW,JB-SEATTLE-FW,Netherlands,Jerusalem,device,True,True,1
ncentral,Client IP conflict detected,3,Failed,Wyffels,dyoOBTdepotsw02,DMG-SLO-AP02,Spain,England,device,True,True,1
auvik,CPU,4,Triggered,DYOPATH Oakbrook Terrace,AmesUtility,DMG-SLO-AP02,Denmark,Jerusalem,server,True,True,1
auvik,VPN remote gateway is Lost,3,critical,Ambient Enterprises DMG San Luis Obispo,DMG-SLO-AP02,10.0.4.6,Japan,Osaka,network,True,True,1
meraki,VPN remote gateway is Lost,1,Triggered,DYOPATH Oakbrook Terrace,dpOBTlabsw01,dyo-sch-fw01a,Switzerland,North Holland,service,True,True,1
auvik,Access Point Offline,4,Triggered,DYOPATH Oakbrook Terrace,dpOBTlabsw01,JB-CLACKAMAS-FW,Brazil,Central Region,device,True,True,1
auvik,Rogue AP detected,4,Triggered,Hanover Company Azure,JB-CLACKAMAS-FW,SyntheticHost,Canada,Viken,service,True,True,1
auvik,Connectivity,3,Warning,HVP SLHV Data Center,JB-SEATTLE-FW,JB-SEATTLE-FW,Australia,Skåne,service,True,True,1
meraki,Agent Status,4,Triggered,Hanover Company Azure,dpOBTlabsw01,192.168.1.85,France,Lazio,network,True,True,1
meraki,Uplink status changed,1,Failed,Synthetic Corp,NJ-EX01,dpOBTlabsw01,Canada,Jalisco,synthetic,True,True,1
meraki,Client IP conflict detected,3,Triggered,Ambient Enterprises DMG San Luis Obispo,DMG-SLO-AP01,JB-SEATTLE-FW,United Kingdom,Queensland,service,True,True,1
auvik,Internet Connection is Lost,3,Triggered,Ambient Enterprises,SyntheticDevice,MH-BoiseOffice-MX,Israel,Ontario,network,True,True,1
ncentral,Connectivity,1,Failed,Ambient Enterprises,NJ-EX01,10.108.6.90,United States,Geneva,server,True,True,1
ncentral,Interface Status Mismatch,1,Failed,Ambient Enterprises - Johnson Barrow,SyntheticDevice,asa5515x-01.kslinc.net,Sweden,Queensland,server,True,True,1
auvik,Windows Event Log,1,Triggered,DYOPATH Oakbrook Terrace,JB-SEATTLE-FW,10.0.1.24,Australia,Vestland,server,True,True,1
auvik,Network Element Offline,4,warning,HVP SLHV Data Center,asa5515x-01.kslinc.net,10.10.6.6,South Korea,Västra Götaland,synthetic,True,True,1
ncentral,Network Element Offline,3,Triggered,Synthetic Corp,DC3,10.0.4.6,Spain,Texas,network,True,True,1
auvik,Rogue AP detected,4,Triggered,Synthetic Corp,JB-CLACKAMAS-FW,DMG-SLO-AP01,Norway,Île-de-France,service,True,True,1
auvik,Internet Connection is Lost,3,Failed,Wyffels,JB-CLACKAMAS-FW,192.168.1.85,Singapore,North Holland,server,True,True,1
meraki,Connectivity,4,Triggered,HVP SLHV Data Center,JB-CLACKAMAS-FW,MH-BoiseOffice-MX,Brazil,New York,synthetic,True,True,1
ctgan,Agent Status,4,Triggered,Wedgewood Pharmacy,JB-SEATTLE-FW,JB-CLACKAMAS-FW,Denmark,Île-de-France,server,True,True,1
ncentral,Access Point Offline,1,Warning,Wyffels,DC3,192.168.1.85,India,East Region,server,True,True,1
meraki,VPN remote gateway is Lost,3,Failed,Ambient Enterprises - Johnson Barrow,dyoOBTdepotsw02,dyo-sch-fw01a,United States,Galway,server,True,True,1
auvik,Client IP conflict detected,2,Triggered,Wedgewood Pharmacy,JB-CLACKAMAS-FW,MH-BoiseOffice-MX,Norway,Southern Denmark,device,True,True,1
ctgan,VPN remote gateway is Lost,4,Triggered,Ambient Enterprises DMG San Luis Obispo,JB-SEATTLE-FW,JB-CLACKAMAS-FW,New Zealand,Jalisco,interface,True,True,1
auvik,Network Element Offline,4,Triggered,Ambient Enterprises,dpOBTlabsw01,10.10.6.6,Germany,Île-de-France,device,True,True,1
ctgan,Connectivity,4,Triggered,DYOPATH Oakbrook Terrace,NJ-EX01,JB-CLACKAMAS-FW,Ireland,California,service,True,True,1
auvik,Connectivity,3,Triggered,Ambient Enterprises - Johnson Barrow,SyntheticDevice,DMG-SLO-AP02,Ireland,Hokkaido,server,True,True,1
meraki,Synthetic CTGAN Alert,4,Triggered,Wyffels,JB-CLACKAMAS-FW,JB-CLACKAMAS-FW,Norway,Provence-Alpes-Côte d'Azur,network,True,True,1
ctgan,Network Element Offline,4,Triggered,DYOPATH Oakbrook Terrace,JB-SEATTLE-FW,192.168.1.85,Germany,Madrid,synthetic,True,True,1
auvik,Uplink status changed,4,Normal,Ambient Enterprises DMG San Luis Obispo,JB-SEATTLE-FW,JB-SEATTLE-FW,Japan,Victoria,synthetic,True,True,1
auvik,Rogue AP detected,4,Triggered,HVP SLHV Data Center,GlacierVmProd2,10.108.6.90,Australia,São Paulo,service,True,True,1
ctgan,Memory,1,Triggered,Hanover Company Azure,AmesUtility,JB-CLACKAMAS-FW,Mexico,Mexico City,synthetic,True,True,1
auvik,VPN remote gateway is Lost,3,warning,HVP SLHV Data Center,DC3,10.0.4.6,India,Scotland,synthetic,True,True,1
auvik,Interface Status Mismatch,1,Normal,Wyffels,dyo-sch-fw01a,JB-CLACKAMAS-FW,Netherlands,Jerusalem,server,True,True,1
meraki,Rogue AP detected,1,Normal,Ambient Enterprises,MH-BoiseOffice-MX,10.10.6.6,Brazil,Cork,service,True,True,1
auvik,Access Point Offline,4,Failed,Synthetic Corp,GlacierVmProd2,JB-CLACKAMAS-FW,Belgium,Zurich,service,True,True,1
ncentral,Network Element Offline,1,Triggered,Ambient Enterprises DMG San Luis Obispo,NJ-EX01,192.168.1.85,South Africa,Tokyo,server,True,True,1
ncentral,Memory,1,Triggered,Wedgewood Pharmacy,MH-BoiseOffice-MX,JB-SEATTLE-FW,Israel,Osaka,server,True,True,1
meraki,Network Element Offline,2,warning,Ambient Enterprises - Johnson Barrow,DC3,JB-CLACKAMAS-FW,Japan,Southern Denmark,device,True,True,1
auvik,CPU,1,Triggered,Synthetic Corp,DMG-SLO-AP01,JB-CLACKAMAS-FW,Spain,Bavaria,network,True,True,1
ctgan,Internet Connection is Lost,4,Warning,Wyffels,JB-SEATTLE-FW,DMG-SLO-AP01,Australia,Seoul,service,True,True,1
ctgan,Network Element Offline,3,critical,Wedgewood Pharmacy,DC3,192.168.1.85,United States,West Region,server,True,True,1
auvik,Internet Connection is Lost,4,warning,Wedgewood Pharmacy,MH-BoiseOffice-MX,SyntheticHost,Italy,Oslo,server,True,True,1
auvik,Interface Status Mismatch,4,warning,Wedgewood Pharmacy,DMG-SLO-AP01,192.168.1.85,United Arab Emirates,Alberta,device,True,True,1
ncentral,Disk,4,Failed,Ambient Enterprises > Ambient Enterprises HCN (HAR),DMG-SLO-AP01,MH-BoiseOffice-MX,Spain,Sharjah,server,True,True,1
ncentral,CPU,3,Failed,Ambient Enterprises > Ambient Enterprises HCN (HAR),LBTAMAG01,dpOBTlabsw01,Israel,North Holland,server,True,True,1
auvik,Rogue AP detected,4,Failed,Ambient Enterprises,DMG-SLO-AP02,192.168.1.85,United Arab Emirates,Mexico City,server,True,True,1
auvik,Network Element Offline,3,critical,Signorelli Company,NJ-EX01,asa5515x-01.kslinc.net,Germany,Lombardy,network,True,True,1
meraki,Network Element Offline,4,Triggered,Ambient Enterprises DMG San Luis Obispo,DMG-SLO-AP01,JB-CLACKAMAS-FW,United Arab Emirates,Madrid,synthetic,True,True,1
auvik,VPN connectivity changed,4,Failed,HVP SLHV Data Center,GlacierVmProd2,JB-SEATTLE-FW,Sweden,Cork,server,True,True,1
auvik,VPN connectivity changed,1,Failed,Wyffels,asa5515x-01.kslinc.net,10.10.6.6,Norway,Bern,device,True,True,1
auvik,CPU,1,Normal,Ocean Point Terminals (LTB),MH-BoiseOffice-MX,10.0.4.6,Japan,Canterbury,server,True,True,1
meraki,Connectivity,3,Triggered,Ambient Enterprises,SyntheticDevice,10.10.6.6,Sweden,Minas Gerais,synthetic,True,True,1
meraki,Uplink status changed,1,Triggered,Hanover Company Azure,MH-BoiseOffice-MX,10.108.6.90,Canada,Western Cape,synthetic,True,True,1
auvik,Interface Status Mismatch,4,Triggered,Wedgewood Pharmacy,SyntheticDevice,10.108.6.90,United Kingdom,São Paulo,synthetic,True,True,1
ncentral,VPN remote gateway is Lost,2,Failed,Signorelli Company,DMG-SLO-AP02,dyoOBTdepotsw02,Belgium,Stockholm,server,True,True,1
ncentral,Disk,1,Failed,Hanover Company Azure,DC3,10.10.6.6,South Korea,Catalonia,server,True,True,1
ctgan,Network Element Offline,3,Triggered,Ambient Enterprises,SyntheticDevice,10.10.6.6,Ireland,Västra Götaland,service,True,True,1
auvik,CPU,4,Warning,Signorelli Company,NJ-EX01,DMG-SLO-AP01,South Africa,Flanders,server,True,True,1
meraki,Windows Event Log,3,warning,HVP SLHV Data Center,JB-CLACKAMAS-FW,dpOBTlabsw01,South Africa,North Holland,service,True,True,1
ncentral,Network Element Offline,3,Normal,Ocean Point Terminals (LTB),DMG-SLO-AP01,DMG-SLO-AP02,Brazil,Dubai,interface,True,True,1
ctgan,Agent Status,4,Triggered,Ambient Enterprises DMG San Luis Obispo,NJ-EX01,MH-BoiseOffice-MX,Japan,Nuevo León,device,True,True,1
ncentral,Agent Status,3,Triggered,Ambient Enterprises DMG San Luis Obispo,dyo-sch-fw01a,dyoOBTdepotsw02,Brazil,Nouvelle-Aquitaine,interface,True,True,1
auvik,VPN connectivity changed,4,Triggered,Synthetic Corp,JB-SEATTLE-FW,DMG-SLO-AP02,Belgium,Osaka,server,True,True,1
ncentral,Disk,1,Failed,Hanover Company Azure,LBTAMAG01,10.108.6.90,Japan,East Region,server,True,True,1
ncentral,Connectivity,4,Failed,Hanover Company Azure,dpOBTlabsw01,10.0.1.24,South Korea,New South Wales,device,True,True,1
auvik,Memory,3,Triggered,DYOPATH Oakbrook Terrace,DC3,JB-CLACKAMAS-FW,Netherlands,Skåne,network,True,True,1
meraki,Internet Connection is Lost,4,Triggered,Ambient Enterprises - Johnson Barrow,JB-SEATTLE-FW,10.0.4.6,New Zealand,Queensland,device,True,True,1
meraki,Connectivity,3,Triggered,Ambient Enterprises,NJ-EX01,192.168.1.85,India,Sharjah,server,True,True,1
auvik,Access Point Offline,4,Triggered,Ocean Point Terminals (LTB),AmesUtility,MH-BoiseOffice-MX,France,Wales,service,True,True,1
meraki,VPN remote gateway is Lost,4,Normal,Ocean Point Terminals (LTB),AmesUtility,DMG-SLO-AP01,Netherlands,Kyoto,server,True,True,1
ncentral,Memory,1,Triggered,Hanover Company Azure,JB-CLACKAMAS-FW,192.168.1.85,Canada,Stockholm,server,True,True,1
ctgan,Synthetic CTGAN Alert,3,Triggered,HVP SLHV Data Center,JB-CLACKAMAS-FW,JB-CLACKAMAS-FW,Italy,Utrecht,server,True,True,1
ncentral,Internet Connection is Lost,4,Triggered,DYOPATH Oakbrook Terrace,dyo-sch-fw01a,JB-SEATTLE-FW,France,Zurich,interface,True,True,1
ncentral,Agent Status,1,Failed,Wedgewood Pharmacy,AmesUtility,dyoOBTdepotsw02,India,New York,server,True,True,1
auvik,VPN remote gateway is Lost,2,Triggered,HVP SLHV Data Center,GlacierVmProd2,192.168.1.85,South Korea,Zurich,synthetic,True,True,1
meraki,Synthetic CTGAN Alert,4,Triggered,Ambient Enterprises DMG San Luis Obispo,MH-BoiseOffice-MX,dpOBTlabsw01,Ireland,Ontario,interface,True,True,1
ncentral,CPU,1,Failed,Ambient Enterprises,dyo-sch-fw01a,10.0.1.24,France,Wellington,server,True,True,1
auvik,Agent Status,1,Triggered,Ambient Enterprises - Johnson Barrow,GlacierVmProd2,JB-CLACKAMAS-FW,South Korea,Vestland,server,True,True,1
auvik,Access Point Offline,4,Triggered,Ambient Enterprises DMG San Luis Obispo,DMG-SLO-AP01,MH-BoiseOffice-MX,Japan,Berlin,synthetic,True,True,1
ctgan,Agent Status,3,Triggered,Wyffels,dyoOBTdepotsw02,10.0.1.24,Norway,Victoria,network,True,True,1
ncentral,Interface Status Mismatch,1,Failed,Ocean Point Terminals (LTB),LBTAMAG01,dyoOBTdepotsw02,United Kingdom,Berlin,device,True,True,1
meraki,Network Element Offline,1,Triggered,Hanover Company Azure,DMG-SLO-AP01,192.168.1.85,Ireland,Capital Region,interface,True,True,1
ncentral,Network Element Offline,1,Triggered,Ambient Enterprises,NJ-EX01,10.108.6.90,India,Alberta,network,True,True,1
meraki,Network Element Offline,3,warning,Ambient Enterprises,DMG-SLO-AP02,10.10.6.6,Singapore,Kyoto,network,True,True,1
meraki,VPN remote gateway is Lost,2,Triggered,Synthetic Corp,GlacierVmProd2,192.168.1.85,Mexico,Canterbury,network,True,True,1
ctgan,VPN remote gateway is Lost,3,Triggered,Ambient Enterprises - Johnson Barrow,JB-CLACKAMAS-FW,MH-BoiseOffice-MX,Australia,Central Region,network,True,True,1
ctgan,Synthetic CTGAN Alert,1,warning,DYOPATH Oakbrook Terrace,JB-CLACKAMAS-FW,10.10.6.6,Ireland,Seoul,service,True,True,1
ctgan,Interface Status Mismatch,3,Triggered,Ambient Enterprises,DMG-SLO-AP02,JB-CLACKAMAS-FW,Singapore,Catalonia,synthetic,True,True,1
auvik,CPU,1,warning,Hanover Company Azure,LBTAMAG01,JB-SEATTLE-FW,Germany,Jerusalem,synthetic,True,True,1
auvik,Network Element Offline,4,Failed,Ambient Enterprises > Ambient Enterprises HCN (HAR),JB-CLACKAMAS-FW,10.10.6.6,Australia,Alberta,server,True,True,1
ncentral,VPN connectivity changed,3,Normal,DYOPATH Oakbrook Terrace,LBTAMAG01,10.108.6.90,Spain,Oslo,server,True,True,1
ctgan,Rogue AP detected,4,Warning,Wedgewood Pharmacy,JB-CLACKAMAS-FW,MH-BoiseOffice-MX,United Arab Emirates,Osaka,network,True,True,1
ctgan,Client IP conflict detected,3,Triggered,Ambient Enterprises DMG San Luis Obispo,AmesUtility,dyo-sch-fw01a,United Kingdom,Dublin,interface,True,True,1
auvik,VPN connectivity changed,2,Failed,Ambient Enterprises > Ambient Enterprises HCN (HAR),DC3,10.0.4.6,Belgium,Mexico City,service,True,True,1
ncentral,Internet Connection is Lost,3,Triggered,Hanover Company Azure,dyo-sch-fw01a,dyoOBTdepotsw02,Mexico,Gyeonggi,server,True,True,1
auvik,Client IP conflict detected,3,Triggered,Ambient Enterprises - Johnson Barrow,JB-CLACKAMAS-FW,10.108.6.90,United Kingdom,Western Cape,service,True,True,1
auvik,VPN connectivity changed,3,Failed,DYOPATH Oakbrook Terrace,SyntheticDevice,10.108.6.90,France,Lombardy,server,True,True,1
ctgan,Rogue AP detected,1,Triggered,Ambient Enterprises DMG San Luis Obispo,JB-CLACKAMAS-FW,asa5515x-01.kslinc.net,Mexico,Dubai,server,True,True,1
ncentral,Interface Status Mismatch,1,Failed,Hanover Company Azure,dyoOBTdepotsw02,dyo-sch-fw01a,Mexico,Andalusia,server,True,True,1
ctgan,Memory,1,Triggered,Hanover Company Azure,AmesUtility,JB-SEATTLE-FW,Mexico,Kyoto,interface,True,True,1
ncentral,VPN remote gateway is Lost,1,Failed,Signorelli Company,LBTAMAG01,10.108.6.90,New Zealand,KwaZulu-Natal,server,True,True,1
ncentral,Connectivity,3,Warning,Hanover Company Azure,AmesUtility,MH-BoiseOffice-MX,Spain,Northern Ireland,network,True,True,1
meraki,Disk,3,Triggered,Hanover Company Azure,dpOBTlabsw01,MH-BoiseOffice-MX,Belgium,West Region,server,True,True,1
ncentral,Agent Status,3,Failed,Wedgewood Pharmacy,LBTAMAG01,10.108.6.90,Italy,Scotland,server,True,True,1
ctgan,Synthetic CTGAN Alert,1,Triggered,HVP SLHV Data Center,DMG-SLO-AP01,JB-SEATTLE-FW,Ireland,Flanders,device,True,True,1
ncentral,Agent Status,2,Triggered,Ambient Enterprises - Johnson Barrow,LBTAMAG01,dyo-sch-fw01a,Italy,Busan,service,True,True,1
meraki,Disk,4,Warning,Ambient Enterprises DMG San Luis Obispo,dyo-sch-fw01a,DMG-SLO-AP01,United States,Osaka,server,True,True,1
auvik,Client IP conflict detected,3,Triggered,Ambient Enterprises - Johnson Barrow,JB-SEATTLE-FW,JB-SEATTLE-FW,Singapore,Rio de Janeiro,synthetic,True,True,1
ncentral,Disk,4,warning,Synthetic Corp,JB-SEATTLE-FW,JB-SEATTLE-FW,South Korea,Oslo,server,True,True,1
ncentral,Access Point Offline,3,Triggered,Ambient Enterprises > Ambient Enterprises HCN (HAR),GlacierVmProd2,192.168.1.85,Singapore,Berlin,network,True,True,1
ctgan,Internet Connection is Lost,2,Triggered,Signorelli Company,DMG-SLO-AP01,DMG-SLO-AP01,Italy,Karnataka,interface,True,True,1
ctgan,Access Point Offline,2,Triggered,Synthetic Corp,SyntheticDevice,MH-BoiseOffice-MX,Spain,Jerusalem,synthetic,True,True,1
auvik,Uplink status changed,4,Triggered,Signorelli Company,JB-CLACKAMAS-FW,10.10.6.6,United Kingdom,South Holland,synthetic,True,True,1
meraki,Access Point Offline,3,Triggered,HVP SLHV Data Center,SyntheticDevice,DMG-SLO-AP01,Canada,Provence-Alpes-Côte d'Azur,server,True,True,1
ncentral,Client IP conflict detected,3,Triggered,HVP SLHV Data Center,DMG-SLO-AP01,10.108.6.90,Japan,Tamil Nadu,server,True,True,1
ctgan,Synthetic CTGAN Alert,3,Warning,Ambient Enterprises DMG San Luis Obispo,DMG-SLO-AP01,DMG-SLO-AP01,United Arab Emirates,Provence-Alpes-Côte d'Azur,server,True,True,1
ctgan,CPU,1,Triggered,Ambient Enterprises DMG San Luis Obispo,MH-BoiseOffice-MX,MH-BoiseOffice-MX,Belgium,Scotland,server,True,True,1
meraki,Internet Connection is Lost,1,Triggered,Ambient Enterprises > Ambient Enterprises HCN (HAR),dyoOBTdepotsw02,asa5515x-01.kslinc.net,Australia,Campania,synthetic,True,True,1
ncentral,Synthetic CTGAN Alert,3,critical,Ambient Enterprises - Johnson Barrow,asa5515x-01.kslinc.net,10.108.6.90,United Arab Emirates,Capital Region,server,True,True,1
ctgan,Internet Connection is Lost,4,critical,Ambient Enterprises DMG San Luis Obispo,JB-CLACKAMAS-FW,JB-CLACKAMAS-FW,United Arab Emirates,Campania,network,True,True,1
auvik,VPN connectivity changed,2,Triggered,Ambient Enterprises > Ambient Enterprises HCN (HAR),JB-SEATTLE-FW,10.108.6.90,Switzerland,Auckland,synthetic,True,True,1
meraki,Network Element Offline,4,Triggered,Synthetic Corp,GlacierVmProd2,JB-SEATTLE-FW,New Zealand,Sharjah,network,True,True,1
auvik,Memory,1,Failed,Hanover Company Azure,JB-CLACKAMAS-FW,JB-SEATTLE-FW,Canada,Tel Aviv,server,True,True,1
meraki,CPU,4,Warning,Wyffels,NJ-EX01,10.10.6.6,New Zealand,West Region,server,True,True,1
ncentral,Connectivity,1,Cleared,HVP SLHV Data Center,NJ-EX01,JB-SEATTLE-FW,Canada,Western Australia,server,True,True,1
meraki,Network Element Offline,2,Failed,HVP SLHV Data Center,JB-SEATTLE-FW,asa5515x-01.kslinc.net,Japan,Seoul,synthetic,True,True,1
meraki,Rogue AP detected,1,Triggered,Ambient Enterprises DMG San Luis Obispo,SyntheticDevice,asa5515x-01.kslinc.net,United Arab Emirates,Queensland,server,True,True,1
auvik,Internet Connection is Lost,4,Triggered,Ambient Enterprises - Johnson Barrow,GlacierVmProd2,JB-SEATTLE-FW,United States,Rio de Janeiro,synthetic,True,True,1
auvik,Network Element Offline,3,warning,Ambient Enterprises > Ambient Enterprises HCN (HAR),GlacierVmProd2,JB-SEATTLE-FW,United Arab Emirates,Galway,server,True,True,1
auvik,Network Element Offline,3,Failed,Ambient Enterprises,dyoOBTdepotsw02,10.10.6.6,Israel,Scotland,synthetic,True,True,1
ncentral,Agent Status,1,Triggered,Signorelli Company,AmesUtility,10.10.6.6,Mexico,Sharjah,server,True,True,1
auvik,Memory,2,warning,DYOPATH Oakbrook Terrace,GlacierVmProd2,JB-CLACKAMAS-FW,Switzerland,Stockholm,service,True,True,1
auvik,Synthetic CTGAN Alert,2,Triggered,Hanover Company Azure,DC3,JB-CLACKAMAS-FW,Japan,Stockholm,device,True,True,1
